store_id,week_id,date,is_bm,is_post,treatment_group,store_type,city,region_type,is_metro,capacity,avg_daily_volume,avg_utilization_rate,pct_closure_hours,collection_hrs,rts_rate,complaint_rate,opt_out_rate,is_treated_5d,is_g2,is_g4,cohort
0,0,2026-01-19,1,0,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,34.18,0.0145,0.00307,0.00081,0,0,0,normal
0,1,2026-01-26,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,35.79,0.01126,0.00244,0.00139,0,0,0,normal
0,2,2026-02-02,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,36.46,0.01276,0.00299,0.00142,0,0,0,normal
0,3,2026-02-23,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,39.43,0.01194,0.00217,0.00151,0,0,0,normal
0,4,2026-03-02,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,36.31,0.01276,0.00258,0.00134,0,0,0,normal
1,0,2026-01-19,1,0,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,36.79,0.01269,0.00239,0.00129,0,0,0,normal
1,1,2026-01-26,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,37.75,0.01173,0.00281,0.00153,0,0,0,normal
1,2,2026-02-02,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,40.17,0.01019,0.00234,0.00116,0,0,0,normal
1,3,2026-02-23,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,37.88,0.01326,0.00254,0.00115,0,0,0,normal
1,4,2026-03-02,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,35.72,0.0123,0.00297,0.00156,0,0,0,normal
2,0,2026-01-19,1,0,7D,vacant,其他,rural,0,371,71,0.1914,0.0,35.32,0.01323,0.00271,0.00166,0,0,0,normal
2,1,2026-01-26,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,37.3,0.01236,0.00263,0.00149,0,0,0,normal
2,2,2026-02-02,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,37.91,0.00809,0.00244,0.00126,0,0,0,normal
2,3,2026-02-23,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,36.01,0.01045,0.00335,0.00114,0,0,0,normal
2,4,2026-03-02,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,38.42,0.00763,0.00243,0.00145,0,0,0,normal
