store_id,week_id,date,is_bm,is_post,treatment_group,store_type,city,region_type,is_metro,capacity,avg_daily_volume,avg_utilization_rate,pct_closure_hours,collection_hrs,rts_rate,complaint_rate,opt_out_rate,is_treated_5d,is_g2,is_g4,cohort
0,0,2026-01-19,1,0,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,125.44,0.19257,0.00307,0.00081,0,0,0,high_risk
0,1,2026-01-26,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,114.68,0.16221,0.00244,0.00139,0,0,0,high_risk
0,2,2026-02-02,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,129.0,0.14391,0.00299,0.00142,0,0,0,high_risk
0,3,2026-02-23,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,130.52,0.15372,0.00217,0.00151,0,0,0,high_risk
0,4,2026-03-02,0,1,7D,vacant,彰化縣,regional,0,379,114,0.3008,0.0,107.39,0.14024,0.00258,0.00134,0,0,0,high_risk
1,0,2026-01-19,1,0,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,112.58,0.1748,0.00239,0.00129,0,0,0,high_risk
1,1,2026-01-26,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,124.02,0.14943,0.00281,0.00153,0,0,0,high_risk
1,2,2026-02-02,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,120.47,0.16753,0.00234,0.00116,0,0,0,high_risk
1,3,2026-02-23,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,122.87,0.18201,0.00254,0.00115,0,0,0,high_risk
1,4,2026-03-02,0,1,7D,vacant,台中市,metro,1,336,64,0.1905,0.0,116.18,0.15492,0.00297,0.00156,0,0,0,high_risk
2,0,2026-01-19,1,0,7D,vacant,其他,rural,0,371,71,0.1914,0.0,130.04,0.16098,0.00271,0.00166,0,0,0,high_risk
2,1,2026-01-26,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,129.22,0.14545,0.00263,0.00149,0,0,0,high_risk
2,2,2026-02-02,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,123.53,0.15917,0.00244,0.00126,0,0,0,high_risk
2,3,2026-02-23,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,132.02,0.20361,0.00335,0.00114,0,0,0,high_risk
2,4,2026-03-02,0,1,7D,vacant,其他,rural,0,371,71,0.1914,0.0,126.74,0.17667,0.00243,0.00145,0,0,0,high_risk
3,0,2026-01-19,1,0,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,116.13,0.16103,0.00243,0.00126,0,0,0,high_risk
3,1,2026-01-26,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,125.95,0.15582,0.00196,0.00106,0,0,0,high_risk
3,2,2026-02-02,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,115.33,0.16436,0.00267,0.00161,0,0,0,high_risk
3,3,2026-02-23,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,130.03,0.16695,0.00291,0.00131,0,0,0,high_risk
3,4,2026-03-02,0,1,7D,vacant,新竹縣市,regional,0,408,36,0.1,0.0,122.6,0.15871,0.00242,0.00129,0,0,0,high_risk
4,0,2026-01-19,1,0,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,121.52,0.17295,0.00351,0.00214,1,0,1,high_risk
4,1,2026-01-26,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,115.55,0.1207,0.00345,0.00187,1,0,1,high_risk
4,2,2026-02-02,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,130.78,0.12062,0.00278,0.0016,1,0,1,high_risk
4,3,2026-02-23,0,1,5D_G4,burst,台北市,metro,1,276,547,1.5,0.2584,119.76,0.14055,0.00305,0.00189,1,0,1,high_risk
